,opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,cycle_duration,quarter_close,account_sector,account_revenue,account_employees,office_location,size_category,manager,regional_office,series,sales_price
952,JA0D4V57,James Ascencio,MG Advanced,Y-corporation,Won,2017-03-04,2017-05-09,3685.0,66.0,Q2 2017,Employment,2871.35,9561,United States,Enterprise,Summer Sewald,West,MG,3393
954,7S1N6QHI,Kami Bicknell,MG Special,Y-corporation,Won,2017-03-04,2017-03-18,51.0,14.0,Q1 2017,Employment,2871.35,9561,United States,Enterprise,Summer Sewald,West,MG,55
955,CHI2T3IH,Kami Bicknell,MG Advanced,Sunnamplex,Won,2017-03-04,2017-03-21,3164.0,17.0,Q1 2017,Marketing,894.37,1593,Poland,Enterprise,Summer Sewald,West,MG,3393
956,X7HK448T,Lajuana Vencill,GTX Basic,Funholding,Won,2017-03-04,2017-06-22,496.0,110.0,Q2 2017,Finance,2819.5,7227,United States,Enterprise,Dustin Brinkmann,Central,GTX,550
958,R4L36Y0P,Marty Freudenburg,GTX Basic,Stanredtax,Won,2017-03-04,2017-03-26,579.0,22.0,Q1 2017,Finance,1698.2,3798,United States,Enterprise,Melvin Marxen,Central,GTX,550
960,YNKWBEEN,Reed Clapper,GTX Basic,Kan-code,Won,2017-03-04,2017-06-27,521.0,115.0,Q2 2017,Software,11698.03,34288,United States,Enterprise,Rocco Neubert,East,GTX,550
961,SARVIBLS,Reed Clapper,MG Advanced,Gekko & Co,Won,2017-03-04,2017-03-07,3889.0,3.0,Q1 2017,Retail,2520.83,3502,United States,Enterprise,Rocco Neubert,East,MG,3393
962,M4ZNQTEQ,Rosie Papadopoulos,MG Advanced,Plussunin,Won,2017-03-04,2017-03-12,3340.0,8.0,Q1 2017,Retail,1419.98,4018,United States,Enterprise,Cara Losch,East,MG,3393
964,SAUAOZVO,Anna Snelling,GTX Plus Pro,Toughzap,Won,2017-03-05,2017-05-29,5092.0,85.0,Q2 2017,Retail,332.43,799,United States,Mid-Market,Dustin Brinkmann,Central,GTX,5482
966,OJVA8ZEK,Daniell Hammack,GTX Plus Basic,Acme Corporation,Won,2017-03-05,2017-06-08,966.0,95.0,Q2 2017,Technolgy,1100.04,2822,United States,Enterprise,Rocco Neubert,East,GTX,1096
967,UAX3F7D4,Daniell Hammack,GTX Plus Pro,Opentech,Won,2017-03-05,2017-03-21,6024.0,16.0,Q1 2017,Finance,355.23,853,United States,Mid-Market,Rocco Neubert,East,GTX,5482
968,7PDUWDGT,Daniell Hammack,MG Advanced,Condax,Won,2017-03-05,2017-03-14,3759.0,9.0,Q1 2017,Medical,4.54,9,United States,SMB,Rocco Neubert,East,MG,3393
969,BVOO33UA,Hayden Neloms,MG Advanced,Cheers,Won,2017-03-05,2017-06-28,3397.0,115.0,Q2 2017,Entertainment,4269.9,6472,United States,Enterprise,Celia Rouche,West,MG,3393
972,M92Y63Q3,Jonathan Berthelot,MG Special,Domzoom,Won,2017-03-05,2017-05-05,59.0,61.0,Q2 2017,Entertainment,217.87,551,United States,SMB,Melvin Marxen,Central,MG,55
975,PSGTTYUT,Lajuana Vencill,GTX Basic,Rangreen,Won,2017-03-05,2017-06-06,494.0,93.0,Q2 2017,Technolgy,2938.67,8775,Panama,Enterprise,Dustin Brinkmann,Central,GTX,550
976,JRC2PMKX,Lajuana Vencill,GTX Plus Basic,Codehow,Won,2017-03-05,2017-05-16,1060.0,72.0,Q2 2017,Software,2714.9,2641,United States,Enterprise,Dustin Brinkmann,Central,GTX,1096
982,FPTH6URQ,Vicki Laflamme,GTX Basic,Faxquote,Won,2017-03-05,2017-05-11,624.0,67.0,Q2 2017,Telecommunications,1825.82,5595,United States,Enterprise,Celia Rouche,West,GTX,550
983,S3XE14XP,Vicki Laflamme,GTX Basic,Goodsilron,Won,2017-03-05,2017-05-08,565.0,64.0,Q2 2017,Marketing,2952.73,5107,United States,Enterprise,Celia Rouche,West,GTX,550
984,U6Q0T9KV,Vicki Laflamme,GTX Basic,Konex,Won,2017-03-05,2017-06-14,642.0,101.0,Q2 2017,Technolgy,7708.38,13756,United States,Enterprise,Celia Rouche,West,GTX,550
986,HRWHRCH8,Violet Mclelland,MG Special,Betasoloin,Won,2017-03-05,2017-03-14,48.0,9.0,Q1 2017,Medical,251.41,495,United States,SMB,Cara Losch,East,MG,55
987,8B29CRQL,Violet Mclelland,MG Special,Donware,Won,2017-03-05,2017-05-19,60.0,75.0,Q2 2017,Marketing,1197.44,2570,United States,Enterprise,Cara Losch,East,MG,55
988,3KM8WN7L,Boris Faz,GTX Basic,Kan-code,Won,2017-03-06,2017-05-18,522.0,73.0,Q2 2017,Software,11698.03,34288,United States,Enterprise,Rocco Neubert,East,GTX,550
989,S0XILDHQ,Cassey Cress,GTX Plus Pro,Umbrella Corporation,Won,2017-03-06,2017-03-18,4701.0,12.0,Q1 2017,Finance,2022.14,5113,United States,Enterprise,Rocco Neubert,East,GTX,5482
991,9AMJKJX6,Jonathan Berthelot,GTX Basic,Inity,Won,2017-03-06,2017-05-31,579.0,86.0,Q2 2017,Marketing,2403.58,8801,United States,Enterprise,Melvin Marxen,Central,GTX,550
992,3NQBMKOK,Kary Hendrixson,GTX Basic,Kan-code,Won,2017-03-06,2017-06-29,494.0,115.0,Q2 2017,Software,11698.03,34288,United States,Enterprise,Summer Sewald,West,GTX,550
993,VBG91TQH,Marty Freudenburg,GTX Basic,Isdom,Won,2017-03-06,2017-06-11,545.0,97.0,Q2 2017,Medical,3178.24,4540,United States,Enterprise,Melvin Marxen,Central,GTX,550
994,QZE24X2H,Maureen Marcano,GTX Basic,Y-corporation,Won,2017-03-06,2017-06-01,584.0,87.0,Q2 2017,Employment,2871.35,9561,United States,Enterprise,Summer Sewald,West,GTX,550
995,WSPBQ5YR,Moses Frase,MG Advanced,dambase,Won,2017-03-06,2017-06-09,3714.0,95.0,Q2 2017,Marketing,2173.98,2928,United States,Enterprise,Dustin Brinkmann,Central,MG,3393
996,YJJ1BLPQ,Niesha Huffines,MG Advanced,Finhigh,Won,2017-03-06,2017-05-15,3423.0,70.0,Q2 2017,Finance,1102.43,1759,United States,Enterprise,Melvin Marxen,Central,MG,3393
997,XUGTSB00,Niesha Huffines,MG Advanced,Ron-tech,Won,2017-03-06,2017-03-19,3167.0,13.0,Q1 2017,Medical,3922.42,6837,United States,Enterprise,Melvin Marxen,Central,MG,3393
999,I0TSIELX,Rosalina Dieter,GTX Plus Basic,Xx-holding,Won,2017-03-06,2017-05-29,987.0,84.0,Q2 2017,Finance,7537.24,20293,United States,Enterprise,Celia Rouche,West,GTX,1096
1002,UMZ986GC,Versie Hillebrand,MG Advanced,Dontechi,Won,2017-03-06,2017-05-24,3428.0,79.0,Q2 2017,Software,4618.0,10083,United States,Enterprise,Dustin Brinkmann,Central,MG,3393
1005,RZI9HX5X,Zane Levy,GTX Plus Basic,Hottechi,Won,2017-03-06,2017-05-31,1149.0,86.0,Q2 2017,Technolgy,8170.38,16499,Korea,Enterprise,Summer Sewald,West,GTX,1096
1006,WFJPWN9O,Anna Snelling,GTX Plus Pro,Globex Corporation,Won,2017-03-07,2017-06-11,6023.0,96.0,Q2 2017,Technolgy,1223.72,2497,Norway,Enterprise,Dustin Brinkmann,Central,GTX,5482
1008,S93L97VV,Cecily Lampkin,MG Special,Scottech,Won,2017-03-07,2017-03-17,47.0,10.0,Q1 2017,Marketing,45.39,100,United States,SMB,Dustin Brinkmann,Central,MG,55
1009,HRU8FNE1,Corliss Cosme,GTX Basic,Donquadtech,Won,2017-03-07,2017-03-10,542.0,3.0,Q1 2017,Technolgy,1712.68,3194,United States,Enterprise,Cara Losch,East,GTX,550
1010,ITIQJARB,Gladys Colclough,GTX Plus Pro,Bioholding,Won,2017-03-07,2017-03-11,4887.0,4.0,Q1 2017,Medical,587.34,1356,Philipines,Mid-Market,Melvin Marxen,Central,GTX,5482
1011,EAUV9J9L,Gladys Colclough,MG Advanced,Stanredtax,Won,2017-03-07,2017-03-21,3724.0,14.0,Q1 2017,Finance,1698.2,3798,United States,Enterprise,Melvin Marxen,Central,MG,3393
1012,XWEZ1WNK,James Ascencio,GTX Basic,Y-corporation,Won,2017-03-07,2017-03-11,535.0,4.0,Q1 2017,Employment,2871.35,9561,United States,Enterprise,Summer Sewald,West,GTX,550
1015,CJ5U6GX3,Markita Hansen,MG Advanced,Singletechno,Won,2017-03-07,2017-03-15,3969.0,8.0,Q1 2017,Retail,2214.94,5374,United States,Enterprise,Celia Rouche,West,MG,3393
1017,HDUV7VJN,Moses Frase,GTX Plus Pro,Toughzap,Won,2017-03-07,2017-03-13,6805.0,6.0,Q1 2017,Retail,332.43,799,United States,Mid-Market,Dustin Brinkmann,Central,GTX,5482
1018,5OCY2XME,Niesha Huffines,GTX Plus Basic,Isdom,Won,2017-03-07,2017-06-12,1190.0,97.0,Q2 2017,Medical,3178.24,4540,United States,Enterprise,Melvin Marxen,Central,GTX,1096
1019,1YB00UYY,Rosie Papadopoulos,GTX Plus Pro,Condax,Won,2017-03-07,2017-05-29,4821.0,83.0,Q2 2017,Medical,4.54,9,United States,SMB,Cara Losch,East,GTX,5482
1021,Y23HQJRG,Violet Mclelland,MG Special,Kinnamplus,Won,2017-03-07,2017-05-06,53.0,60.0,Q2 2017,Retail,702.72,1831,United States,Enterprise,Cara Losch,East,MG,55
1022,9HXSC391,Cassey Cress,MG Advanced,Vehement Capital Partners,Won,2017-03-08,2017-05-22,3087.0,75.0,Q2 2017,Finance,646.1,883,United States,Mid-Market,Rocco Neubert,East,MG,3393
1023,ENOMNCOJ,Cecily Lampkin,MG Special,Bioholding,Won,2017-03-08,2017-06-03,59.0,87.0,Q2 2017,Medical,587.34,1356,Philipines,Mid-Market,Dustin Brinkmann,Central,MG,55
1024,CG4TWLUR,Corliss Cosme,GTX Plus Basic,Bubba Gump,Won,2017-03-08,2017-06-02,857.0,86.0,Q2 2017,Software,987.39,2253,United States,Enterprise,Cara Losch,East,GTX,1096
1025,0FIG6ZP2,Daniell Hammack,GTX Plus Basic,Massive Dynamic,Won,2017-03-08,2017-06-27,1142.0,111.0,Q2 2017,Entertainment,665.06,1095,United States,Mid-Market,Rocco Neubert,East,GTX,1096
1026,IA62KQBO,Donn Cantrell,GTX Basic,Ganjaflex,Won,2017-03-08,2017-05-14,566.0,67.0,Q2 2017,Retail,5158.71,17479,Japan,Enterprise,Rocco Neubert,East,GTX,550
1027,C54ZXDLT,Garret Kinder,MG Advanced,Xx-zobam,Won,2017-03-08,2017-03-18,4291.0,10.0,Q1 2017,Entertainment,3838.39,8274,United States,Enterprise,Cara Losch,East,MG,3393
1028,X96MMTCI,Hayden Neloms,GTX Plus Basic,Rantouch,Won,2017-03-08,2017-06-16,1039.0,100.0,Q2 2017,Telecommunications,1188.42,3015,United States,Enterprise,Celia Rouche,West,GTX,1096
1029,P4RDU8QM,Hayden Neloms,MG Advanced,Xx-holding,Won,2017-03-08,2017-05-19,3151.0,72.0,Q2 2017,Finance,7537.24,20293,United States,Enterprise,Celia Rouche,West,MG,3393
1030,7C9Q2ZA3,Jonathan Berthelot,GTX Basic,Gogozoom,Won,2017-03-08,2017-03-24,590.0,16.0,Q1 2017,Telecommunications,86.68,187,United States,SMB,Melvin Marxen,Central,GTX,550
1031,YZ1EYM3Y,Jonathan Berthelot,MG Advanced,Ron-tech,Won,2017-03-08,2017-03-18,3217.0,10.0,Q1 2017,Medical,3922.42,6837,United States,Enterprise,Melvin Marxen,Central,MG,3393
1032,M7J5BV9Q,Kami Bicknell,GTX Basic,Zoomit,Won,2017-03-08,2017-03-11,597.0,3.0,Q1 2017,Entertainment,324.19,978,United States,Mid-Market,Summer Sewald,West,GTX,550
1036,CDA8Y12G,Markita Hansen,MG Special,Blackzim,Won,2017-03-08,2017-05-07,61.0,60.0,Q2 2017,Retail,497.11,1588,United States,Enterprise,Celia Rouche,West,MG,55
1037,RYLLRATF,Markita Hansen,MG Advanced,Faxquote,Won,2017-03-08,2017-05-31,3470.0,84.0,Q2 2017,Telecommunications,1825.82,5595,United States,Enterprise,Celia Rouche,West,MG,3393
1039,Y38ULZPM,Rosalina Dieter,MG Special,Newex,Won,2017-03-08,2017-05-28,48.0,81.0,Q2 2017,Services,1012.72,3492,Germany,Enterprise,Celia Rouche,West,MG,55
1040,YFP8IZ98,Rosie Papadopoulos,MG Special,Acme Corporation,Won,2017-03-08,2017-06-22,61.0,106.0,Q2 2017,Technolgy,1100.04,2822,United States,Enterprise,Cara Losch,East,MG,55
1047,E5UW8AGQ,Anna Snelling,GTX Basic,Streethex,Won,2017-03-09,2017-06-11,595.0,94.0,Q2 2017,Retail,1376.8,1165,Belgium,Mid-Market,Dustin Brinkmann,Central,GTX,550
1048,EWA9JFBA,Anna Snelling,MG Special,Zumgoity,Won,2017-03-09,2017-06-01,51.0,84.0,Q2 2017,Medical,441.08,1210,United States,Mid-Market,Dustin Brinkmann,Central,MG,55
1053,D01U0UR8,Darcel Schlecht,GTX Basic,Funholding,Won,2017-03-09,2017-06-17,571.0,100.0,Q2 2017,Finance,2819.5,7227,United States,Enterprise,Melvin Marxen,Central,GTX,550
1054,9LFX3HBC,Elease Gluck,MG Advanced,Lexiqvolax,Won,2017-03-09,2017-03-25,3333.0,16.0,Q1 2017,Medical,1618.89,3889,United States,Enterprise,Celia Rouche,West,MG,3393
1055,JP3IMU5X,Gladys Colclough,GTX Plus Pro,Isdom,Won,2017-03-09,2017-05-16,4853.0,68.0,Q2 2017,Medical,3178.24,4540,United States,Enterprise,Melvin Marxen,Central,GTX,5482
1056,5I8WOI8P,Gladys Colclough,MG Special,Toughzap,Won,2017-03-09,2017-06-08,51.0,91.0,Q2 2017,Retail,332.43,799,United States,Mid-Market,Melvin Marxen,Central,MG,55
1059,NY9ARKRE,Marty Freudenburg,MG Special,Codehow,Won,2017-03-09,2017-06-01,51.0,84.0,Q2 2017,Software,2714.9,2641,United States,Enterprise,Melvin Marxen,Central,MG,55
1061,ZWAJWK40,Violet Mclelland,MG Special,Vehement Capital Partners,Won,2017-03-09,2017-06-22,48.0,105.0,Q2 2017,Finance,646.1,883,United States,Mid-Market,Cara Losch,East,MG,55
1062,WQ0C723A,Zane Levy,GTX Plus Pro,Kan-code,Won,2017-03-09,2017-05-18,5215.0,70.0,Q2 2017,Software,11698.03,34288,United States,Enterprise,Summer Sewald,West,GTX,5482
1064,396WP6JS,Anna Snelling,MG Special,Gogozoom,Won,2017-03-10,2017-03-19,58.0,9.0,Q1 2017,Telecommunications,86.68,187,United States,SMB,Dustin Brinkmann,Central,MG,55
1065,57689GK9,Cecily Lampkin,MG Advanced,Finhigh,Won,2017-03-10,2017-03-20,3587.0,10.0,Q1 2017,Finance,1102.43,1759,United States,Enterprise,Dustin Brinkmann,Central,MG,3393
1066,S2WDGIHL,Cecily Lampkin,MG Advanced,Warephase,Won,2017-03-10,2017-05-29,2915.0,80.0,Q2 2017,Services,2041.73,5276,United States,Enterprise,Dustin Brinkmann,Central,MG,3393
1067,TF7HCU69,Garret Kinder,GTX Plus Basic,Gekko & Co,Won,2017-03-10,2017-06-12,1062.0,94.0,Q2 2017,Retail,2520.83,3502,United States,Enterprise,Cara Losch,East,GTX,1096
1073,X7M4GO0J,Violet Mclelland,GTX Plus Basic,Zencorporation,Won,2017-03-10,2017-06-28,1074.0,110.0,Q2 2017,Technolgy,40.79,142,China,SMB,Cara Losch,East,GTX,1096
1076,0YN6EALP,Anna Snelling,MG Special,Scottech,Won,2017-03-11,2017-03-17,57.0,6.0,Q1 2017,Marketing,45.39,100,United States,SMB,Dustin Brinkmann,Central,MG,55
1077,A4LUP6W6,Cassey Cress,GTX Basic,Zotware,Won,2017-03-11,2017-05-22,586.0,72.0,Q2 2017,Software,4478.47,13809,United States,Enterprise,Rocco Neubert,East,GTX,550
1078,KUK2H5MD,Cecily Lampkin,GTX Plus Basic,Rundofase,Won,2017-03-11,2017-06-13,1184.0,94.0,Q2 2017,Technolgy,1008.06,1238,United States,Mid-Market,Dustin Brinkmann,Central,GTX,1096
1081,UI1UION3,James Ascencio,GTX Basic,J-Texon,Won,2017-03-11,2017-06-10,526.0,91.0,Q2 2017,Retail,1388.67,3583,United States,Enterprise,Summer Sewald,West,GTX,550
1082,ZPX96Q40,James Ascencio,GTX Plus Pro,Condax,Won,2017-03-11,2017-06-12,5344.0,93.0,Q2 2017,Medical,4.54,9,United States,SMB,Summer Sewald,West,GTX,5482
1083,FGH181PC,Kami Bicknell,GTX Basic,Dalttechnology,Won,2017-03-11,2017-06-06,528.0,87.0,Q2 2017,Software,98.79,96,United States,SMB,Summer Sewald,West,GTX,550
1084,8OBC9CQE,Kami Bicknell,MG Advanced,Singletechno,Won,2017-03-11,2017-03-26,3254.0,15.0,Q1 2017,Retail,2214.94,5374,United States,Enterprise,Summer Sewald,West,MG,3393
1085,2Y84YR3K,Kary Hendrixson,GTX Basic,J-Texon,Won,2017-03-11,2017-05-24,516.0,74.0,Q2 2017,Retail,1388.67,3583,United States,Enterprise,Summer Sewald,West,GTX,550
1086,97QHOOWD,Kary Hendrixson,GTX Basic,Y-corporation,Won,2017-03-11,2017-03-27,538.0,16.0,Q1 2017,Employment,2871.35,9561,United States,Enterprise,Summer Sewald,West,GTX,550
1087,YL7XWUYO,Lajuana Vencill,GTX Basic,Codehow,Won,2017-03-11,2017-06-17,459.0,98.0,Q2 2017,Software,2714.9,2641,United States,Enterprise,Dustin Brinkmann,Central,GTX,550
1089,HZU0L5GS,Moses Frase,MG Advanced,Konmatfix,Won,2017-03-11,2017-06-04,3330.0,85.0,Q2 2017,Marketing,375.43,1190,United States,Mid-Market,Dustin Brinkmann,Central,MG,3393
1090,8RF8XVYF,Versie Hillebrand,GTX Basic,Conecom,Won,2017-03-11,2017-05-10,589.0,60.0,Q2 2017,Technolgy,1520.66,1806,United States,Enterprise,Dustin Brinkmann,Central,GTX,550
1091,ZILYYA1V,Vicki Laflamme,MG Special,Goodsilron,Won,2017-03-11,2017-03-30,45.0,19.0,Q1 2017,Marketing,2952.73,5107,United States,Enterprise,Celia Rouche,West,MG,55
1094,WBJX6O2D,Cassey Cress,GTX Plus Pro,Opentech,Won,2017-03-12,2017-06-11,5664.0,91.0,Q2 2017,Finance,355.23,853,United States,Mid-Market,Rocco Neubert,East,GTX,5482
1096,T14K7M5G,Corliss Cosme,GTX Plus Basic,Initech,Won,2017-03-12,2017-06-11,1074.0,91.0,Q2 2017,Telecommunications,6395.05,20275,United States,Enterprise,Cara Losch,East,GTX,1096
1098,HG07756D,Elease Gluck,GTX Basic,Finjob,Won,2017-03-12,2017-03-31,481.0,19.0,Q1 2017,Employment,2059.9,3644,United States,Enterprise,Celia Rouche,West,GTX,550
1099,E7YSM99K,Elease Gluck,GTX Plus Basic,Labdrill,Won,2017-03-12,2017-06-02,1101.0,82.0,Q2 2017,Medical,2741.37,9226,United States,Enterprise,Celia Rouche,West,GTX,1096
1100,4D1FP59D,Gladys Colclough,GTX Basic,Warephase,Won,2017-03-12,2017-06-23,522.0,103.0,Q2 2017,Services,2041.73,5276,United States,Enterprise,Melvin Marxen,Central,GTX,550
1102,TK29F68V,Hayden Neloms,MG Special,Y-corporation,Won,2017-03-12,2017-06-13,49.0,93.0,Q2 2017,Employment,2871.35,9561,United States,Enterprise,Celia Rouche,West,MG,55
1103,GTANESSU,Lajuana Vencill,GTX Plus Basic,Isdom,Won,2017-03-12,2017-05-22,991.0,71.0,Q2 2017,Medical,3178.24,4540,United States,Enterprise,Dustin Brinkmann,Central,GTX,1096
1104,LA0O6BHX,Lajuana Vencill,GTX Plus Pro,Dontechi,Won,2017-03-12,2017-05-27,4509.0,76.0,Q2 2017,Software,4618.0,10083,United States,Enterprise,Dustin Brinkmann,Central,GTX,5482
1105,J4V3VKQ5,Maureen Marcano,GTX Basic,Sonron,Won,2017-03-12,2017-03-27,491.0,15.0,Q1 2017,Telecommunications,1699.85,5108,United States,Enterprise,Summer Sewald,West,GTX,550
1108,Y34MVXP3,Rosie Papadopoulos,MG Advanced,Kinnamplus,Won,2017-03-12,2017-06-27,3443.0,107.0,Q2 2017,Retail,702.72,1831,United States,Enterprise,Cara Losch,East,MG,3393
1109,N8G3G1UF,Versie Hillebrand,MG Special,Gogozoom,Won,2017-03-12,2017-05-29,60.0,78.0,Q2 2017,Telecommunications,86.68,187,United States,SMB,Dustin Brinkmann,Central,MG,55
1110,SDXZB8MC,Versie Hillebrand,MG Special,Hottechi,Won,2017-03-12,2017-06-20,53.0,100.0,Q2 2017,Technolgy,8170.38,16499,Korea,Enterprise,Dustin Brinkmann,Central,MG,55
1111,PFUE2JYB,Vicki Laflamme,MG Special,Finjob,Won,2017-03-12,2017-05-26,56.0,75.0,Q2 2017,Employment,2059.9,3644,United States,Enterprise,Celia Rouche,West,MG,55
1112,4A8SFEJ2,Zane Levy,GTX Basic,Scotfind,Won,2017-03-12,2017-03-17,665.0,5.0,Q1 2017,Software,6354.87,16780,United States,Enterprise,Summer Sewald,West,GTX,550
1113,HEG8WPQF,Anna Snelling,GTX Plus Basic,Inity,Won,2017-03-13,2017-05-09,1140.0,57.0,Q2 2017,Marketing,2403.58,8801,United States,Enterprise,Dustin Brinkmann,Central,GTX,1096
1114,0FST40LV,Anna Snelling,MG Special,Streethex,Won,2017-03-13,2017-05-25,52.0,73.0,Q2 2017,Retail,1376.8,1165,Belgium,Mid-Market,Dustin Brinkmann,Central,MG,55
1115,I7WERQ6B,Anna Snelling,MG Special,Warephase,Won,2017-03-13,2017-06-08,52.0,87.0,Q2 2017,Services,2041.73,5276,United States,Enterprise,Dustin Brinkmann,Central,MG,55
1117,V0EIMVES,Cecily Lampkin,GTX Plus Pro,Konmatfix,Won,2017-03-13,2017-05-13,5121.0,61.0,Q2 2017,Marketing,375.43,1190,United States,Mid-Market,Dustin Brinkmann,Central,GTX,5482
1118,DL4SZAGH,Cecily Lampkin,MG Advanced,Rundofase,Won,2017-03-13,2017-03-31,3611.0,18.0,Q1 2017,Technolgy,1008.06,1238,United States,Mid-Market,Dustin Brinkmann,Central,MG,3393
1119,RVIU1YQ8,Corliss Cosme,MG Special,Massive Dynamic,Won,2017-03-13,2017-03-24,50.0,11.0,Q1 2017,Entertainment,665.06,1095,United States,Mid-Market,Cara Losch,East,MG,55
1120,ZNSWDHTJ,Darcel Schlecht,GTX Basic,Rundofase,Won,2017-03-13,2017-05-15,618.0,63.0,Q2 2017,Technolgy,1008.06,1238,United States,Mid-Market,Melvin Marxen,Central,GTX,550
1121,A2G8VYZY,Darcel Schlecht,GTX Plus Basic,Globex Corporation,Won,2017-03-13,2017-03-17,1247.0,4.0,Q1 2017,Technolgy,1223.72,2497,Norway,Enterprise,Melvin Marxen,Central,GTX,1096
1123,Y9B94N72,Garret Kinder,MG Special,Donware,Won,2017-03-13,2017-05-03,55.0,51.0,Q2 2017,Marketing,1197.44,2570,United States,Enterprise,Cara Losch,East,MG,55
1124,34MBPHRL,Hayden Neloms,GTX Plus Basic,Singletechno,Won,2017-03-13,2017-06-17,1157.0,96.0,Q2 2017,Retail,2214.94,5374,United States,Enterprise,Celia Rouche,West,GTX,1096
1125,K73K8IQ3,Kary Hendrixson,GTX Basic,Hottechi,Won,2017-03-13,2017-05-22,537.0,70.0,Q2 2017,Technolgy,8170.38,16499,Korea,Enterprise,Summer Sewald,West,GTX,550
1126,JV1NCDKP,Moses Frase,MG Special,Isdom,Won,2017-03-13,2017-05-11,57.0,59.0,Q2 2017,Medical,3178.24,4540,United States,Enterprise,Dustin Brinkmann,Central,MG,55
1127,ECCVMNUZ,Rosalina Dieter,MG Special,Sunnamplex,Won,2017-03-13,2017-05-20,66.0,68.0,Q2 2017,Marketing,894.37,1593,Poland,Enterprise,Celia Rouche,West,MG,55
1128,3OAEEV0S,Cassey Cress,MG Advanced,Gekko & Co,Won,2017-03-14,2017-03-21,3503.0,7.0,Q1 2017,Retail,2520.83,3502,United States,Enterprise,Rocco Neubert,East,MG,3393
1129,RTH5O6ZW,Cassey Cress,MG Advanced,Mathtouch,Won,2017-03-14,2017-06-13,3600.0,91.0,Q2 2017,Marketing,3027.46,9516,Jordan,Enterprise,Rocco Neubert,East,MG,3393
1130,GH6U8WWN,Daniell Hammack,GTX Basic,Massive Dynamic,Won,2017-03-14,2017-03-19,425.0,5.0,Q1 2017,Entertainment,665.06,1095,United States,Mid-Market,Rocco Neubert,East,GTX,550
1131,2Y2R082L,Darcel Schlecht,MG Special,dambase,Won,2017-03-14,2017-05-06,62.0,53.0,Q2 2017,Marketing,2173.98,2928,United States,Enterprise,Melvin Marxen,Central,MG,55
1132,1R38Y0C1,Elease Gluck,MG Advanced,Golddex,Won,2017-03-14,2017-03-20,3386.0,6.0,Q1 2017,Finance,52.5,165,United States,SMB,Celia Rouche,West,MG,3393
1133,8JS4BWQ7,Gladys Colclough,GTX Basic,Streethex,Won,2017-03-14,2017-03-24,615.0,10.0,Q1 2017,Retail,1376.8,1165,Belgium,Mid-Market,Melvin Marxen,Central,GTX,550
1134,78TOITP2,Gladys Colclough,MG Special,Finhigh,Won,2017-03-14,2017-05-18,55.0,65.0,Q2 2017,Finance,1102.43,1759,United States,Enterprise,Melvin Marxen,Central,MG,55
1137,YHNBSXPN,Maureen Marcano,GTX Plus Basic,Hatfan,Won,2017-03-14,2017-03-25,1019.0,11.0,Q1 2017,Services,792.46,1299,United States,Mid-Market,Summer Sewald,West,GTX,1096
1138,TW6D3KT4,Maureen Marcano,MG Advanced,Blackzim,Won,2017-03-14,2017-05-12,2798.0,59.0,Q2 2017,Retail,497.11,1588,United States,Enterprise,Summer Sewald,West,MG,3393
1139,Z8RI8RLU,Moses Frase,GTX Basic,Streethex,Won,2017-03-14,2017-06-03,502.0,81.0,Q2 2017,Retail,1376.8,1165,Belgium,Mid-Market,Dustin Brinkmann,Central,GTX,550
1140,FT0L8HZZ,Moses Frase,MG Advanced,Isdom,Won,2017-03-14,2017-03-16,3323.0,2.0,Q1 2017,Medical,3178.24,4540,United States,Enterprise,Dustin Brinkmann,Central,MG,3393
1145,E96ZTKHC,Vicki Laflamme,GTX Basic,Scotfind,Won,2017-03-14,2017-03-17,542.0,3.0,Q1 2017,Software,6354.87,16780,United States,Enterprise,Celia Rouche,West,GTX,550
1147,9U6RAS0M,Cassey Cress,GTX Basic,Umbrella Corporation,Won,2017-03-15,2017-03-31,538.0,16.0,Q1 2017,Finance,2022.14,5113,United States,Enterprise,Rocco Neubert,East,GTX,550
1148,GOM8T4Y4,Darcel Schlecht,GTX Plus Basic,Codehow,Won,2017-03-15,2017-05-09,1178.0,55.0,Q2 2017,Software,2714.9,2641,United States,Enterprise,Melvin Marxen,Central,GTX,1096
1149,E7OPE1O8,Darcel Schlecht,MG Special,Rangreen,Won,2017-03-15,2017-03-20,60.0,5.0,Q1 2017,Technolgy,2938.67,8775,Panama,Enterprise,Melvin Marxen,Central,MG,55
1150,647E6ED0,Darcel Schlecht,MG Advanced,Dontechi,Won,2017-03-15,2017-06-05,2875.0,82.0,Q2 2017,Software,4618.0,10083,United States,Enterprise,Melvin Marxen,Central,MG,3393
1153,M9OTPNII,Garret Kinder,GTX Plus Pro,Donware,Won,2017-03-15,2017-05-20,6177.0,66.0,Q2 2017,Marketing,1197.44,2570,United States,Enterprise,Cara Losch,East,GTX,5482
1155,MHN0SWM2,Lajuana Vencill,GTX Plus Pro,Genco Pura Olive Oil Company,Won,2017-03-15,2017-06-21,4527.0,98.0,Q2 2017,Retail,894.33,1635,Italy,Enterprise,Dustin Brinkmann,Central,GTX,5482
1157,IGELOJ42,Moses Frase,GTX Plus Pro,Cancity,Won,2017-03-15,2017-06-03,6102.0,80.0,Q2 2017,Retail,718.62,2448,United States,Enterprise,Dustin Brinkmann,Central,GTX,5482
